question,answer
비동기 방식의 특징은 무엇인가요?,작업이 완료된 결과를 제어하기 어렵다.
CALL BY VALUE의 특징은 무엇인가요?,인자로 받은 값을 복사하여 처리하는 방식이다.
CALL BY VALUE의 특징은 무엇인가요?,CALL BY VALUE에 의해 넘어온 값을 증가시켜도 원래의 값이 보존된다.
CALL BY VALUE의 특징은 무엇인가요?,값을 복사하여 넘기기 때문에 메모리 사용량이 늘어난다.
CALL BY REFERENCE의 특징은 무엇인가요?,인자로 받은 값의 주소를 참조하여 직접 값에 영향을 주는 방식이다.
CALL BY REFERENCE의 특징은 무엇인가요?,값을 복사하지 않고 직접 참조하기 때문에 속도가 빠르다.
CALL BY REFERENCE의 특징은 무엇인가요?,직접 값에 영향을 주기 때문에 리스크가 있다.
프레임워크는 무엇인가요?,프레임워크는 소프트웨어의 구체적인 부분에 해당하는 설계와 구현을 재사용이 가능하게끔 상호 협력하는 클래스와 인터페이스의 집합이다.
라이브러리는 무엇인가요?,라이브러리는 개발에 필요한 재사용이 가능한 기능들을 미리 구현해두고 필요한 곳에서 호출하여 사용 가능하도록 만들어진 집합이다.
SQL INJECTION은 무엇인가요?,공격자가 악의적인 의도를 갖는 구문을 삽입하여 공격자가 원하는 SQL을 실행시키도록 하는 웹 해킹기법이다.
SQL INJECTION을 방지하기 위한 방법은 무엇인가요?,특수문자 및 SQL 예약어들을 필더링하거나 SQL 오류 메시지를 노출하지 않는 등의 방법을 사용해야 한다.
MESSAGE QUEUE는 무엇인가요?,QUEUE 자료구조를 이용하여 데이터를 관리하는 시스템이다. 비동기 통신 프로토콜을 제공하여 메시지를 빠르게 주고 받을 수 있게 한다.
TEST DRIVEN DEVELOPMENT란 무엇인가요?,TEST DRIVEN DEVELOPMENT는 매우 짧은 개발 사이클의 반복에 의존하는 개발 프로세스로 개발자는 우선 요구되는 기능에 대한 테스트 케이스를 작성하고 그에 맞는 코드를 작성하여 테스트를 통과한 후에 상황에 맞게 리팩토링하는 테스트 주도 개발 방식이다.
TDD란 무엇인가요?,TDD는 매우 짧은 개발 사이클의 반복에 의존하는 개발 프로세스로 개발자는 우선 요구되는 기능에 대한 테스트 케이스를 작성하고 그에 맞는 코드를 작성하여 테스트를 통과한 후에 상황에 맞게 리팩토링하는 테스트 주도 개발 방식이다.
DOMAIN DRIVEN DESIGN은 무엇인가요?,DOMAIN DRIVEN DESIGN은 실세계에서 사건이 발생하는 집합인 DOMAIN을 중심으로 설계하는 방법이다.
DDD는 무엇인가요?,DDD는 실세계에서 사건이 발생하는 집합인 DOMAIN을 중심으로 설계하는 방법이다.
MICROSERVICE ARCHITECTURE는 무엇인가요?,MICROSERVICE ARCHITECTURE는 모든 시스템의 구성요소가 한 프로젝트에 통합되어 있으며 1개의 시스템을 독립적으로 배포가능한 각각의 서비스로 분할하고 각각의 서비스는 API를 통해 데이터를 주고받으며 1개의 큰 서비스를 구성한다.
MSA는 무엇인가요?,MSA는 모든 시스템의 구성요소가 한 프로젝트에 통합되어 있으며 1개의 시스템을 독립적으로 배포가능한 각각의 서비스로 분할하고 각각의 서비스는 API를 통해 데이터를 주고받으며 1개의 큰 서비스를 구성한다.
MSA의 장점은 무엇인가요?,일부 서비스에 장애가 발생하여도 전체 서비스에 장애가 발생하지 않는다.
MSA의 장점은 무엇인가요?,각각의 서비스들은 서로 다른 언어와 프레임워크로 구성될 수 있다.
MSA의 장점은 무엇인가요?,서비스의 확장이 용이하다.
MSA의 단점은 무엇인가요?,서비스가 분리되어 있어 테스팅이나 트랜잭션 처리 등이 어렵다.
MSA의 단점은 무엇인가요?,서비스 간에 API로 통신하기 때문에 그에 대한 비용이 발생한다.
MSA의 단점은 무엇인가요?,서비스 간의 호출이 연속적이기 때문에 디버깅 및 에러 트레이싱이 어렵다.
